policy_id,client_id,line_of_business,issuing_carrier,issued_on,expiry_date,premium_amount,premium_bill_to,renewal_status,last_updated,broker_commision_pct
P003944,C001611,Contracting civil engineer,Murray PLC Insurance Inc.,2006-05-22,2026-05-22,4398.737533765012,Premium Finance Company,New,2025-11-28,15.536213454480535
P001615,C002570,Scientific laboratory technician,"Nelson, Ward and Mcdowell Insurance Inc.",2006-05-19,2026-05-19,693.8919410099309,Insured,Marketing,2025-11-28,18.766720127197562
P004749,C003734,Hydrologist,Daniels-Brady Insurance Inc.,2006-04-25,2026-04-25,220.46074381091643,Mortgagee,Renewal Quoted,2025-11-28,18.419806006847736
P005738,C002092,"Exhibitions officer, museum/gallery",Long LLC Insurance Inc.,2006-10-16,2026-10-16,353.75642129164237,Subsidiary,Marketing,2025-11-28,12.609566738814452
P006206,C006646,Marketing executive,"Gray, Hill and Tucker Insurance Inc.",2006-07-06,2026-07-06,340.8404917201571,Insured,Renewal Quoted,2025-11-28,16.11849127395032
P003516,C006374,"Pharmacist, hospital",Lewis-Cohen Insurance Inc.,2006-11-18,2026-11-18,607.341816494101,Subsidiary,Marketing,2025-11-28,10.318316024967256
P004193,C009998,Clinical biochemist,Dalton and Sons Insurance Inc.,2006-03-19,2026-03-19,441.40951439157413,Premium Finance Company,Renewal Quoted,2025-11-28,16.434331412102882
P002798,C007791,"Editor, film/video","Wallace, Phelps and Smith Insurance Inc.",2006-07-27,2026-07-27,6003.739100920213,Subsidiary,Renewal Quoted,2025-11-28,9.377271476540749
P008294,C008615,Counselling psychologist,Mccormick-Nelson Insurance Inc.,2006-01-24,2026-01-24,324.7558070161774,Parent Company,Renewal Quoted,2025-11-28,13.979724542137491
P002144,C008018,Magazine features editor,"French, Keith and Mccoy Insurance Inc.",2006-05-21,2026-05-21,231.40756287020128,Direct Bill,Marketing,2025-11-28,8.039840261903729
P002845,C008170,Insurance claims handler,Parker-Jackson Insurance Inc.,2006-04-12,2026-04-12,623.4238216467667,Agency Bill,New,2025-11-28,15.789001359383505
P005441,C009510,Software engineer,Sanchez Group Insurance Inc.,2006-03-21,2026-03-21,293.98188236371044,Direct Bill,Canceled,2025-11-28,15.605752999604807
P003982,C006262,Advertising copywriter,Ferguson Group Insurance Inc.,2006-01-01,2026-01-01,9508.098717945324,Parent Company,Marketing,2025-11-28,6.422400092644987
P005546,C009981,Special effects artist,Guzman Inc Insurance Inc.,2006-11-01,2026-11-01,633.3599988366868,Premium Finance Company,Renewal Quoted,2025-11-28,9.96627272462188
P004691,C008213,"Scientist, research (physical sciences)",Scott Ltd Insurance Inc.,2006-05-12,2026-05-12,847.8880221695393,Third-Party Billing,Renewal Quoted,2025-11-28,9.500760875359166
P004077,C003325,"Engineer, automotive",Wright LLC Insurance Inc.,2006-08-16,2026-08-16,635.9476543446032,Payroll Vendor,Canceled,2025-11-28,15.744220952607236
P005931,C007753,"Engineer, energy",Bishop Ltd Insurance Inc.,2006-09-30,2026-09-30,447.1906039259934,Premium Finance Company,Marketing,2025-11-28,20.344601625914983
P006732,C007424,Agricultural consultant,Frank LLC Insurance Inc.,2006-03-02,2026-03-02,942.8249028653138,Premium Finance Company,Renewal Quoted,2025-11-28,8.214521674371591
P006415,C002054,Commercial horticulturist,Hoover LLC Insurance Inc.,2006-09-11,2026-09-11,303.89500658472576,Parent Company,Marketing,2025-11-28,8.557416244481724
P007192,C007788,"Investment banker, operational",Day-Williams Insurance Inc.,2006-06-21,2026-06-21,514.2751156423869,Mortgagee,Canceled,2025-11-28,16.993917855489066
P005120,C005688,Graphic designer,Sanchez-Hughes Insurance Inc.,2006-09-19,2026-09-19,3269.137676135299,Agency Bill,Marketing,2025-11-28,1.569238681471834
P003068,C003411,"Engineer, mining","Butler, Sullivan and Braun Insurance Inc.",2006-03-06,2026-03-06,1754.671434632352,Third-Party Billing,New,2025-11-28,5.991587883411077
P008187,C004211,"Programmer, applications","Freeman, Bailey and Mcintyre Insurance Inc.",2006-04-05,2026-04-05,160.5118431454553,Agency Bill,New,2025-11-28,15.634055388801066
P004730,C003333,Training and development officer,"Padilla, Rodriguez and Estes Insurance Inc.",2006-04-08,2026-04-08,282.34920807194703,Payroll Vendor,Canceled,2025-11-28,14.799272155112284
P009883,C006080,"Librarian, public",Davis-Herrera Insurance Inc.,2006-07-17,2026-07-17,3204.924696790466,Mortgagee,Renewal Quoted,2025-11-28,7.913074362170605
P004423,C004457,"Engineer, biomedical",Knight-Ramirez Insurance Inc.,2006-08-04,2026-08-04,2847.717247388283,Subsidiary,Renewal Quoted,2025-11-28,12.439095209476603
P007401,C009246,"Radiographer, therapeutic",Gomez Group Insurance Inc.,2005-12-02,2025-12-02,2530.063132929758,Direct Bill,Renewal Quoted,2025-11-28,13.757859854375893
P008210,C004402,Retail banker,Maldonado-Walker Insurance Inc.,2006-06-25,2026-06-25,405.72050564635396,Premium Finance Company,New,2025-11-28,20.03822984612568
P003454,C002691,Herpetologist,Lucas-Miller Insurance Inc.,2006-09-01,2026-09-01,336.5256619388003,Premium Finance Company,Renewal Quoted,2025-11-28,15.528113091437543
P003789,C002628,Consulting civil engineer,Davis PLC Insurance Inc.,2006-09-29,2026-09-29,6200.684236166432,Direct Bill,Canceled,2025-11-28,15.815238466449195
P003368,C007345,Television/film/video producer,Mack-Thompson Insurance Inc.,2006-06-30,2026-06-30,413.2227877599557,Mortgagee,Canceled,2025-11-28,6.871169230585628
P002358,C002070,Environmental health practitioner,"Jackson, Beard and Mack Insurance Inc.",2006-07-03,2026-07-03,453.97448481786233,Direct Bill,Marketing,2025-11-28,5.386675272872352
P007026,C005295,Adult guidance worker,"Garcia, Gibson and Simmons Insurance Inc.",2006-05-29,2026-05-29,208.05683902040485,Agency Bill,Canceled,2025-11-28,7.204479320327187
P003773,C007096,Rural practice surveyor,"Sanchez, Blake and Robbins Insurance Inc.",2006-05-09,2026-05-09,2478.378385522866,Third-Party Billing,Canceled,2025-11-28,13.843081737074478
P001595,C001666,Chiropractor,Wagner-Marsh Insurance Inc.,2006-01-21,2026-01-21,2021.5176435861392,Payroll Vendor,Canceled,2025-11-28,10.522984865650866
P009184,C002030,"Journalist, broadcasting",Alexander-Stewart Insurance Inc.,2006-10-04,2026-10-04,384.6617247962195,Direct Bill,New,2025-11-28,6.087046529760168
P002138,C002536,Sales promotion account executive,"Wilson, White and Sanchez Insurance Inc.",2006-02-12,2026-02-12,660.9290892972527,Parent Company,New,2025-11-28,5.413130776950937
P005262,C004579,Film/video editor,Perkins Ltd Insurance Inc.,2006-11-01,2026-11-01,266.84176167020547,Payroll Vendor,Canceled,2025-11-28,19.494399529104967
P009760,C001499,"Horticulturist, amenity","Pineda, Carpenter and Todd Insurance Inc.",2006-09-07,2026-09-07,248.61928497944402,Premium Finance Company,New,2025-11-28,7.198147475509042
P008665,C003377,Technical sales engineer,Payne-Dominguez Insurance Inc.,2006-10-10,2026-10-10,265.24671422242494,Parent Company,Marketing,2025-11-28,0.5053204310600687
P001984,C005083,Interior and spatial designer,Buck-Guzman Insurance Inc.,2006-07-07,2026-07-07,1131.7665922404824,Parent Company,Marketing,2025-11-28,11.352342312843286
P008359,C005003,Homeopath,"Garcia, Hays and Myers Insurance Inc.",2005-12-30,2025-12-30,712.635174975699,Insured,Renewal Quoted,2025-11-28,16.37688350564724
P003196,C005480,"Loss adjuster, chartered","Calhoun, Davis and Vega Insurance Inc.",2006-02-16,2026-02-16,856.3224856828012,Payroll Vendor,Marketing,2025-11-28,14.562224902182018
P009415,C003465,Catering manager,Miller and Sons Insurance Inc.,2005-12-14,2025-12-14,260.4941289085469,Direct Bill,Marketing,2025-11-28,5.464362947467391
P003433,C008846,Retail banker,Bates-Campbell Insurance Inc.,2006-11-27,2026-11-27,2796.444780139252,Payroll Vendor,Canceled,2025-11-28,12.38592213425871
P004486,C002319,"Horticulturist, commercial",Huang and Sons Insurance Inc.,2006-05-27,2026-05-27,4354.990846372456,Subsidiary,New,2025-11-28,7.834361247105516
P004988,C006380,Emergency planning/management officer,Holloway LLC Insurance Inc.,2006-05-23,2026-05-23,547.3162547247532,Direct Bill,New,2025-11-28,13.141228789221
P008992,C005317,Barrister,Howard Ltd Insurance Inc.,2006-01-25,2026-01-25,863.5790810022116,Third-Party Billing,Marketing,2025-11-28,6.308746312715238
P005330,C009764,"Administrator, charities/voluntary organisations",Walton-Mcmahon Insurance Inc.,2006-01-10,2026-01-10,294.57767036337225,Insured,New,2025-11-28,8.749185505875138
P009047,C009492,"Producer, radio",Turner-Mendoza Insurance Inc.,2005-12-20,2025-12-20,350.11393148080833,Payroll Vendor,Renewal Quoted,2025-11-28,10.888287448337344
P001816,C007828,Mechanical engineer,Gonzalez-Craig Insurance Inc.,2006-05-01,2026-05-01,465.87353389936453,Insured,Renewal Quoted,2025-11-28,7.097616429018916
P002881,C001548,Counselling psychologist,"Garcia, Adams and Zimmerman Insurance Inc.",2006-08-30,2026-08-30,999.3521436557697,Premium Finance Company,Marketing,2025-11-28,2.8414459528979226
P009901,C005179,Special effects artist,Burch Ltd Insurance Inc.,2006-01-18,2026-01-18,461.62994280671603,Insured,Renewal Quoted,2025-11-28,13.03894483547627
P006772,C002396,Local government officer,"Hernandez, Castillo and Rasmussen Insurance Inc.",2006-05-15,2026-05-15,622.9665971393305,Third-Party Billing,Renewal Quoted,2025-11-28,16.40524580351775
P007981,C003018,Arts administrator,Miller-Dodson Insurance Inc.,2006-02-16,2026-02-16,1419.6794480966887,Insured,Canceled,2025-11-28,14.786231075282016
P008414,C006026,Comptroller,Lee Ltd Insurance Inc.,2006-08-26,2026-08-26,440.5882114005956,Third-Party Billing,Marketing,2025-11-28,16.050827038732166
P007998,C007495,Early years teacher,Harvey PLC Insurance Inc.,2006-10-07,2026-10-07,582.8547710679323,Parent Company,Canceled,2025-11-28,12.361811216882344
P004008,C005463,Animal technologist,Olson Inc Insurance Inc.,2006-07-04,2026-07-04,1683.290209379665,Agency Bill,New,2025-11-28,11.87066456420991
P006050,C003525,Occupational hygienist,"Ford, Holmes and Snow Insurance Inc.",2005-12-24,2025-12-24,85.73823300549475,Direct Bill,Renewal Quoted,2025-11-28,11.072484080127238
P005023,C009003,Cartographer,"Miller, Nguyen and Gonzalez Insurance Inc.",2006-06-10,2026-06-10,94.87312076315084,Agency Bill,Marketing,2025-11-28,13.359313983230859
P003997,C008699,Research scientist (physical sciences),Ramos-Hicks Insurance Inc.,2005-11-30,2025-11-30,276.8200909299326,Third-Party Billing,Marketing,2025-11-28,12.196599335745118
P004031,C004139,General practice doctor,Nielsen Group Insurance Inc.,2006-06-17,2026-06-17,159.4611197343269,Insured,Marketing,2025-11-28,10.696541691074556
P008416,C005546,"Scientist, biomedical",Carter Ltd Insurance Inc.,2005-12-11,2025-12-11,272.582067809139,Parent Company,Renewal Quoted,2025-11-28,9.599420815725729
P008906,C009734,Prison officer,Williams PLC Insurance Inc.,2005-12-23,2025-12-23,694.9490258015055,Third-Party Billing,Marketing,2025-11-28,13.882440483126109
P005236,C004043,Broadcast engineer,"Curtis, Moss and Johnson Insurance Inc.",2006-11-04,2026-11-04,422.9791718832943,Direct Bill,Renewal Quoted,2025-11-28,12.980958063312928
P004476,C007582,Materials engineer,"Johnson, Gibson and Rasmussen Insurance Inc.",2006-05-22,2026-05-22,318.7082208348654,Third-Party Billing,Renewal Quoted,2025-11-28,11.46015040968827
P007262,C004547,Insurance claims handler,Barrera PLC Insurance Inc.,2005-12-03,2025-12-03,3235.6022351449965,Subsidiary,Renewal Quoted,2025-11-28,8.237298264156639
P008248,C005478,Holiday representative,"Nelson, Sims and Gibson Insurance Inc.",2006-08-18,2026-08-18,625.3307589339379,Direct Bill,Renewal Quoted,2025-11-28,10.736619558300795
P008566,C007776,Telecommunications researcher,Nelson Ltd Insurance Inc.,2005-12-02,2025-12-02,228.09293079462657,Mortgagee,Marketing,2025-11-28,4.090552673795087
P006586,C008944,Air cabin crew,Johnson LLC Insurance Inc.,2006-07-07,2026-07-07,1001.8234043469163,Agency Bill,Renewal Quoted,2025-11-28,3.323262313124495
P007879,C007900,Dance movement psychotherapist,"Holmes, Smith and Berry Insurance Inc.",2006-08-08,2026-08-08,254.90302314859977,Third-Party Billing,Canceled,2025-11-28,6.028046043648629
P004173,C005236,Chief Executive Officer,Weber LLC Insurance Inc.,2006-06-22,2026-06-22,505.4396564052688,Premium Finance Company,Marketing,2025-11-28,12.089615876373676
P004469,C002059,Heritage manager,Chaney-Sanchez Insurance Inc.,2006-08-07,2026-08-07,581.4076065576298,Third-Party Billing,New,2025-11-28,14.124472200714894
P007792,C009725,Solicitor,Wilson and Sons Insurance Inc.,2006-04-27,2026-04-27,235.5951592548805,Direct Bill,Marketing,2025-11-28,4.48397497907227
P008988,C006788,Health service manager,Chapman Ltd Insurance Inc.,2006-01-12,2026-01-12,522.1103931618525,Premium Finance Company,Renewal Quoted,2025-11-28,16.62153921624832
P008884,C009309,Insurance underwriter,Osborne-Campos Insurance Inc.,2006-06-27,2026-06-27,4497.076055428127,Direct Bill,Marketing,2025-11-28,9.920296795964395
P008154,C007239,Educational psychologist,Marshall-Dennis Insurance Inc.,2005-12-06,2025-12-06,1002.3424222656407,Direct Bill,Canceled,2025-11-28,9.419004943451926
P005664,C001916,"Engineer, petroleum",Mitchell PLC Insurance Inc.,2006-09-14,2026-09-14,1293.6048731724693,Agency Bill,Marketing,2025-11-28,11.708447896324547
P001106,C002304,Quantity surveyor,Warren-Watson Insurance Inc.,2006-08-08,2026-08-08,3097.3449559645546,Agency Bill,Marketing,2025-11-28,13.751162712077823
P009451,C008232,Special educational needs teacher,Hoffman Group Insurance Inc.,2006-09-10,2026-09-10,7771.194182789731,Parent Company,Renewal Quoted,2025-11-28,11.397762724226421
P003056,C008123,Aid worker,Blankenship and Sons Insurance Inc.,2005-12-06,2025-12-06,387.2475472367313,Subsidiary,New,2025-11-28,7.915832777914874
P002491,C003077,Newspaper journalist,"Gallagher, Mason and Blackburn Insurance Inc.",2006-01-01,2026-01-01,653.8398730278656,Parent Company,Renewal Quoted,2025-11-28,14.56605335554858
P003454,C003009,"Engineer, building services",Schmitt Group Insurance Inc.,2006-10-28,2026-10-28,309.2148285293813,Parent Company,Marketing,2025-11-28,12.474092146617398
P005593,C006963,"Presenter, broadcasting",Matthews Ltd Insurance Inc.,2006-06-29,2026-06-29,1089.488641256293,Third-Party Billing,Canceled,2025-11-28,10.5634641700458
P004006,C009085,Interpreter,White PLC Insurance Inc.,2005-12-11,2025-12-11,332.640135704556,Third-Party Billing,Renewal Quoted,2025-11-28,10.377606979869268
P009933,C004409,Broadcast presenter,"Thomas, Perry and Gardner Insurance Inc.",2006-05-30,2026-05-30,309.28361556334943,Mortgagee,New,2025-11-28,9.180049564291362
P005672,C001444,"Engineer, energy",Parker and Sons Insurance Inc.,2005-12-15,2025-12-15,325.37364926747017,Subsidiary,Canceled,2025-11-28,9.72727385622345
P005087,C007406,Corporate investment banker,Dunn Ltd Insurance Inc.,2006-05-07,2026-05-07,460.4483017832925,Agency Bill,Marketing,2025-11-28,4.47688915826753
P008542,C007234,"Pharmacist, community","Ryan, Tate and Kennedy Insurance Inc.",2006-02-04,2026-02-04,592.8706209664323,Direct Bill,Marketing,2025-11-28,9.377414743884156
P006311,C005023,"Education officer, community","Smith, Elliott and Bird Insurance Inc.",2006-11-27,2026-11-27,2113.84464475145,Parent Company,Marketing,2025-11-28,7.385241912907561
P001580,C005237,Graphic designer,"Davis, Simpson and Meyer Insurance Inc.",2006-06-25,2026-06-25,119.84748972733864,Premium Finance Company,Marketing,2025-11-28,12.642123539184938
P006381,C008294,Site engineer,Day-Fowler Insurance Inc.,2006-03-29,2026-03-29,919.5443208514876,Insured,Marketing,2025-11-28,13.676455860434679
P006026,C003486,Financial adviser,Hansen Group Insurance Inc.,2006-02-05,2026-02-05,1700.7192441314453,Direct Bill,Renewal Quoted,2025-11-28,7.867542432605907
P006801,C001962,Hotel manager,"Kennedy, Mathews and Mercado Insurance Inc.",2006-04-02,2026-04-02,393.45129300219185,Insured,Renewal Quoted,2025-11-28,5.605372359356868
P007599,C005664,Aeronautical engineer,"Daniel, Moore and Espinoza Insurance Inc.",2006-01-04,2026-01-04,820.0835739317849,Payroll Vendor,Canceled,2025-11-28,15.2295156536842
P005921,C002885,Set designer,Morris-Thomas Insurance Inc.,2005-12-28,2025-12-28,340.802078246603,Subsidiary,New,2025-11-28,11.30427766713293
P008836,C009965,Product designer,"Caldwell, Johnson and Woodward Insurance Inc.",2006-09-07,2026-09-07,1763.6447879419063,Payroll Vendor,Marketing,2025-11-28,9.170562810476927
P009053,C009235,"Merchandiser, retail",Johnson-Jones Insurance Inc.,2006-02-28,2026-02-28,319.3293538767134,Premium Finance Company,Canceled,2025-11-28,17.68744464889521
P001886,C001947,Insurance account manager,"Lawson, Moore and West Insurance Inc.",2006-03-19,2026-03-19,2470.9896468359116,Insured,Canceled,2025-11-28,16.386621517199746
P005267,C009179,Insurance broker,Tran Group Insurance Inc.,2006-02-25,2026-02-25,602.8991090459139,Insured,New,2025-11-28,7.245514258721706
P004924,C008356,Archaeologist,"Martinez, Joseph and Brown Insurance Inc.",2006-04-23,2026-04-23,351.64643308236253,Mortgagee,Canceled,2025-11-28,16.51752161824022
P006105,C004230,Drilling engineer,Lee PLC Insurance Inc.,2006-07-07,2026-07-07,2990.416355083943,Payroll Vendor,New,2025-11-28,11.843808818754681
P005266,C006629,Tourist information centre manager,Doyle PLC Insurance Inc.,2006-01-11,2026-01-11,145.9290446534075,Subsidiary,Canceled,2025-11-28,9.166894803189656
P003866,C002356,"Scientist, physiological","Hill, Atkinson and Gibson Insurance Inc.",2006-05-06,2026-05-06,278.2117314139251,Agency Bill,New,2025-11-28,14.68849761396669
P002904,C003041,Systems analyst,Sanchez-Elliott Insurance Inc.,2006-09-26,2026-09-26,461.55200455597367,Insured,Canceled,2025-11-28,9.861298497721805
P007564,C007429,Research scientist (medical),"Mckinney, Mendez and Herrera Insurance Inc.",2006-09-09,2026-09-09,7201.652635404714,Insured,Canceled,2025-11-28,7.581757468631716
P003366,C003719,Trade mark attorney,"Hunt, Walker and Porter Insurance Inc.",2005-12-21,2025-12-21,207.72849779006972,Direct Bill,Renewal Quoted,2025-11-28,8.703196377610759
P001882,C002043,Occupational therapist,Lewis Ltd Insurance Inc.,2006-08-03,2026-08-03,4509.694463413256,Third-Party Billing,Canceled,2025-11-28,12.49730061267012
P003207,C002199,"Clinical scientist, histocompatibility and immunogenetics",Walker Group Insurance Inc.,2006-03-04,2026-03-04,199.74934894832714,Premium Finance Company,Renewal Quoted,2025-11-28,15.109602550573785
P004180,C008646,"Pharmacist, hospital",Spencer-Blankenship Insurance Inc.,2006-05-24,2026-05-24,1584.9312959357414,Direct Bill,Canceled,2025-11-28,10.325090447378841
P005436,C003242,"Biochemist, clinical",Lewis-Bowen Insurance Inc.,2006-07-22,2026-07-22,2068.440522422552,Mortgagee,Marketing,2025-11-28,11.195149166856346
P007297,C009830,Video editor,"Jenkins, Day and Martin Insurance Inc.",2006-09-04,2026-09-04,2795.5837061220873,Direct Bill,New,2025-11-28,15.340748603920789
P009899,C008959,Economist,Jones-Mcgee Insurance Inc.,2006-07-04,2026-07-04,367.4550504345182,Agency Bill,Renewal Quoted,2025-11-28,12.280249472659978
P006353,C009767,"Buyer, industrial",Garcia Group Insurance Inc.,2006-10-01,2026-10-01,130.11729940262444,Insured,Canceled,2025-11-28,6.717177634498423
P009033,C006560,Company secretary,Phillips Group Insurance Inc.,2006-10-01,2026-10-01,1198.420703023224,Mortgagee,Marketing,2025-11-28,13.780822765361773
P007055,C002987,"Scientist, research (life sciences)","Martinez, Washington and Brown Insurance Inc.",2006-02-23,2026-02-23,222.47042581137012,Agency Bill,Renewal Quoted,2025-11-28,10.478940215802487
P003451,C007239,Sports development officer,Marshall-Branch Insurance Inc.,2006-11-09,2026-11-09,149.2305133484899,Mortgagee,Marketing,2025-11-28,8.025968359794131
P009627,C007322,Legal executive,Cole-Hinton Insurance Inc.,2006-07-31,2026-07-31,354.08394963510995,Payroll Vendor,New,2025-11-28,13.502029367108241
