policy_id,client_id,line_of_business,issuing_carrier,issued_on,expiry_date,premium_amount,premium_bill_to,renewal_status,last_updated,broker_commision_pct
P007860,C001611,Exercise physiologist,Wagner Inc Insurance Inc.,2005-05-31,2025-05-31,1070.7979600652027,Premium Finance Company,New,2025-11-28,10.779305410532094
P005156,C002570,"Nurse, mental health","Perkins, Hicks and Mendoza Insurance Inc.",2005-09-19,2025-09-19,450.3716761755951,Payroll Vendor,Renewal Quoted,2025-11-28,7.931847170733915
P009640,C003734,Press sub,Rivera-Delacruz Insurance Inc.,2005-09-24,2025-09-24,661.9828774448616,Subsidiary,Renewal Quoted,2025-11-28,7.88846593547275
P009660,C002092,Police officer,Russell Group Insurance Inc.,2005-10-02,2025-10-02,216.98883238858198,Insured,Canceled,2025-11-28,8.701980186916025
P007267,C006646,Press sub,"Young, Good and Scott Insurance Inc.",2005-06-14,2025-06-14,344.0571554489981,Third-Party Billing,Renewal Quoted,2025-11-28,7.532531630944685
P007071,C006374,Paediatric nurse,"Neal, Zamora and Gonzalez Insurance Inc.",2005-03-19,2025-03-19,7865.1002014832075,Insured,Marketing,2025-11-28,12.812623255272609
P007517,C009998,Market researcher,"Jackson, Jones and Henson Insurance Inc.",2004-12-10,2024-12-10,4490.981659855426,Parent Company,New,2025-11-28,11.866785731420054
P002829,C007791,Medical illustrator,"Hernandez, Oneill and Mckenzie Insurance Inc.",2005-04-02,2025-04-02,365.13909349233415,Subsidiary,Canceled,2025-11-28,3.444436614969474
P008280,C008615,Hospital doctor,Garner Group Insurance Inc.,2004-12-14,2024-12-14,263.57650644695076,Premium Finance Company,Marketing,2025-11-28,18.51525460479998
P002449,C008018,Clothing/textile technologist,"Herrera, Flores and Murphy Insurance Inc.",2005-08-02,2025-08-02,3150.7849033218477,Subsidiary,Marketing,2025-11-28,12.423551655836308
P008502,C008170,Air cabin crew,Young Inc Insurance Inc.,2005-03-11,2025-03-11,1318.6421930380957,Subsidiary,New,2025-11-28,13.221105543496222
P005628,C009510,"Surveyor, commercial/residential","Mendez, Holmes and Martinez Insurance Inc.",2005-08-08,2025-08-08,461.35923891539557,Parent Company,Marketing,2025-11-28,13.410485296189117
P003129,C006262,Dance movement psychotherapist,Jones-Elliott Insurance Inc.,2005-09-02,2025-09-02,1358.5178985969853,Mortgagee,Renewal Quoted,2025-11-28,8.464925954369079
P009896,C009981,"Engineer, communications",Pratt-Robinson Insurance Inc.,2005-09-04,2025-09-04,267.59623730901313,Payroll Vendor,New,2025-11-28,11.610928587785097
P009808,C008213,Fitness centre manager,"Hobbs, Rivera and Warner Insurance Inc.",2005-07-21,2025-07-21,205.22181939616314,Third-Party Billing,Renewal Quoted,2025-11-28,16.51922154622167
P003407,C003325,Intelligence analyst,Holmes-Reed Insurance Inc.,2005-04-20,2025-04-20,1794.8726801099597,Mortgagee,Marketing,2025-11-28,15.390803905566132
P005062,C007753,Financial trader,Martinez LLC Insurance Inc.,2005-04-21,2025-04-21,1135.0110390461296,Payroll Vendor,Marketing,2025-11-28,11.192639246354652
P003650,C007424,Building control surveyor,Ryan-Potts Insurance Inc.,2005-02-23,2025-02-23,2181.251806713623,Payroll Vendor,Renewal Quoted,2025-11-28,18.038744499255674
P004859,C002054,Diplomatic Services operational officer,"Williams, Burgess and Jackson Insurance Inc.",2005-11-05,2025-11-05,279.550227832182,Parent Company,New,2025-11-28,14.387336561972502
P004575,C007788,"Education officer, museum",Weber-Clark Insurance Inc.,2005-02-20,2025-02-20,3831.198900435701,Agency Bill,Canceled,2025-11-28,3.692471275511253
P003254,C005688,Medical laboratory scientific officer,Larsen-Miller Insurance Inc.,2005-10-15,2025-10-15,471.9307646612452,Mortgagee,Canceled,2025-11-28,17.80639242759849
P001612,C003411,Arboriculturist,"Fleming, Hayden and Miller Insurance Inc.",2005-11-02,2025-11-02,241.6197571048684,Subsidiary,Marketing,2025-11-28,10.500713783343462
P005227,C004211,Television/film/video producer,"Weaver, Davis and Reese Insurance Inc.",2005-08-08,2025-08-08,1652.6473868826529,Payroll Vendor,Marketing,2025-11-28,13.295752449403787
P003263,C003333,Quality manager,Martinez Inc Insurance Inc.,2005-11-07,2025-11-07,1502.2482351579645,Third-Party Billing,Renewal Quoted,2025-11-28,11.397384200080602
P009457,C006080,Communications engineer,Lopez-Lewis Insurance Inc.,2004-12-24,2024-12-24,330.8671533005151,Insured,Renewal Quoted,2025-11-28,11.061544733625057
P004023,C004457,"Merchandiser, retail",Thompson PLC Insurance Inc.,2005-09-23,2025-09-23,1030.7418577792164,Mortgagee,New,2025-11-28,12.269446371338072
P009533,C009246,Animal technologist,"Gallegos, Rojas and Reynolds Insurance Inc.",2005-07-16,2025-07-16,5480.694260575393,Parent Company,Marketing,2025-11-28,6.678736199579925
P001703,C004402,Press photographer,Davis LLC Insurance Inc.,2005-01-03,2025-01-03,1072.6678056561188,Agency Bill,Marketing,2025-11-28,8.217888685153996
P006048,C002691,Cytogeneticist,Perez Ltd Insurance Inc.,2005-01-27,2025-01-27,534.3110910418959,Parent Company,Marketing,2025-11-28,12.664785697049403
P007483,C002628,Illustrator,"Best, Smith and Hernandez Insurance Inc.",2005-05-01,2025-05-01,1658.0687147034926,Insured,New,2025-11-28,13.756059564674437
P002738,C007345,Diplomatic Services operational officer,Wong Group Insurance Inc.,2005-02-11,2025-02-11,163.87562094960722,Agency Bill,New,2025-11-28,10.412110848355994
P006455,C002070,Occupational psychologist,"Walker, Sanchez and Dixon Insurance Inc.",2005-02-17,2025-02-17,4304.747852352583,Subsidiary,Marketing,2025-11-28,9.997502040611026
P003202,C005295,Armed forces logistics/support/administrative officer,"Shepard, Wilson and Cook Insurance Inc.",2005-02-20,2025-02-20,204.59179024438825,Insured,New,2025-11-28,5.615289401152802
P008930,C007096,Financial controller,"Dennis, Bowman and Carter Insurance Inc.",2005-01-27,2025-01-27,819.0224204763572,Parent Company,Marketing,2025-11-28,13.544318023094988
P007715,C001666,Building services engineer,"Evans, Barber and White Insurance Inc.",2005-08-10,2025-08-10,340.98628702487724,Mortgagee,New,2025-11-28,11.280557247494627
P003659,C002030,"Psychologist, occupational","Daniel, Garcia and Miller Insurance Inc.",2005-03-31,2025-03-31,445.4039759032837,Insured,Canceled,2025-11-28,20.511318968583566
P006101,C002536,Town planner,"Rogers, Herrera and Christian Insurance Inc.",2005-05-15,2025-05-15,516.2344482475258,Mortgagee,New,2025-11-28,5.070142683853471
P003180,C004579,Ecologist,Mitchell and Sons Insurance Inc.,2005-07-25,2025-07-25,374.51970070320306,Payroll Vendor,New,2025-11-28,13.890966657709722
P001586,C001499,Biomedical engineer,Bentley-Smith Insurance Inc.,2005-07-07,2025-07-07,3717.4296478881706,Subsidiary,Canceled,2025-11-28,17.350748622514516
P006527,C003377,"Doctor, general practice","Nash, Wood and Nash Insurance Inc.",2005-01-14,2025-01-14,2813.649660201157,Direct Bill,New,2025-11-28,16.130775770448537
P005549,C005083,Geographical information systems officer,"Hardin, Smith and Harris Insurance Inc.",2005-06-15,2025-06-15,185.7101660461459,Agency Bill,Canceled,2025-11-28,16.666545512623898
P004670,C005003,Patent examiner,Gibson-Hernandez Insurance Inc.,2005-02-20,2025-02-20,263.2759308970445,Insured,Canceled,2025-11-28,8.59666523141107
P008943,C005480,Meteorologist,Gould-Watts Insurance Inc.,2005-08-11,2025-08-11,465.4662209124709,Third-Party Billing,Renewal Quoted,2025-11-28,12.211425591482989
P009852,C003465,Haematologist,"Lang, Larsen and Jordan Insurance Inc.",2005-07-08,2025-07-08,4922.718645471154,Parent Company,Canceled,2025-11-28,9.691456836735204
P005983,C008846,Air broker,Wilson-Johnson Insurance Inc.,2005-03-23,2025-03-23,1115.3955522394099,Mortgagee,New,2025-11-28,18.79163817693651
P001610,C002319,Osteopath,Arias-Gilbert Insurance Inc.,2005-11-23,2025-11-23,339.24441347279696,Premium Finance Company,Canceled,2025-11-28,3.657686657622654
P003837,C006380,Building services engineer,"Strong, Adams and Collier Insurance Inc.",2005-09-12,2025-09-12,372.24996215130005,Payroll Vendor,Canceled,2025-11-28,18.185772719865994
P004444,C005317,Social researcher,"Douglas, Jones and Davis Insurance Inc.",2005-02-28,2025-02-28,179.66336167086675,Payroll Vendor,Renewal Quoted,2025-11-28,6.6700831634245565
P003718,C009764,"Engineer, communications",Garner LLC Insurance Inc.,2005-04-12,2025-04-12,1480.1010087525103,Agency Bill,New,2025-11-28,10.047120788866962
P001145,C009492,"Engineer, biomedical","Baker, Malone and Rodriguez Insurance Inc.",2004-11-29,2024-11-29,486.8812726671451,Payroll Vendor,New,2025-11-28,12.422769641167102
P005955,C007828,Tourism officer,Moran-Warren Insurance Inc.,2004-12-08,2024-12-08,452.63664689742166,Mortgagee,Canceled,2025-11-28,14.113164869647946
