	_gpa_justification
0	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
1	"date of expiry is very near,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
2	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is moedrate,
churn probability is moedrate"
3	"date of expiry is very near,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
4	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
5	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
6	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
7	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is high,
churn probability is moedrate"
8	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
9	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
10	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
11	"date of expiry is very near,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is high,
churn probability is high"
12	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is moedrate,
churn probability is moedrate"
13	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
14	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
15	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
16	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
17	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is low,
client responsiveness is high,
churn probability is moedrate"
18	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
19	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
20	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
21	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
22	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
23	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is moedrate"
24	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
25	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is moedrate,
churn probability is moedrate"
26	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
27	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
28	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
29	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
30	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is high,
churn probability is moedrate"
31	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is high,
churn probability is moedrate"
32	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
33	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
34	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
35	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
36	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
37	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
38	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
39	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
40	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
41	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
42	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
43	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
44	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
45	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is moedrate"
46	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
47	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
48	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
49	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
50	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
51	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
52	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
53	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
54	"date of expiry is very near,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
55	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
56	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is high,
churn probability is moedrate"
57	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
58	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
59	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
60	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
61	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
62	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is high,
churn probability is moedrate"
63	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
64	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
65	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
66	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is high,
churn probability is moedrate"
67	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is high,
churn probability is moedrate"
68	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
69	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
70	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
71	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
72	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is moedrate,
churn probability is moedrate"
73	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
74	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
75	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
76	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is high,
churn probability is moedrate"
77	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is moedrate,
churn probability is moedrate"
78	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
79	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is low,
client responsiveness is high,
churn probability is high"
80	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
81	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
82	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
83	"date of expiry is very near,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is high,
churn probability is moedrate"
84	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
85	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
86	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is high,
churn probability is low"
87	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is moedrate"
88	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is high,
churn probability is moedrate"
89	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
90	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
91	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
92	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
93	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
94	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
95	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
96	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
97	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
98	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
99	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is moedrate,
churn probability is moedrate"
100	"date of expiry is very near,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
101	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
102	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
103	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
104	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
105	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
106	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
107	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
108	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is high,
churn probability is high"
109	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
110	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
111	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
112	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is moedrate,
churn probability is moedrate"
113	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is high,
churn probability is high"
114	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is low,
client responsiveness is high,
churn probability is high"
115	"date of expiry is very near,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
116	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is low,
client responsiveness is high,
churn probability is high"
117	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
118	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
119	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is moedrate"
120	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
121	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
122	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
123	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
124	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
125	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
126	"date of expiry is very near,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is low,
churn probability is moedrate"
127	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
128	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
129	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is high,
churn probability is high"
130	"date of expiry is far,
preimum at risk is moderate,
client satisfaction with company is moedrate,
client responsiveness is high,
churn probability is high"
131	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is high,
churn probability is moedrate"
132	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
133	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
134	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is moedrate,
client responsiveness is moedrate,
churn probability is moedrate"
135	"date of expiry is near,
preimum at risk is moderate,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
136	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
137	"date of expiry is very near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
138	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
139	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
140	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is high,
churn probability is moedrate"
141	"date of expiry is very near,
preimum at risk is moderate,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
142	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
143	"date of expiry is near,
preimum at risk is high,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
144	"date of expiry is far,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is moedrate,
churn probability is moedrate"
145	"date of expiry is very near,
preimum at risk is less,
client satisfaction with company is low,
client responsiveness is low,
churn probability is moedrate"
146	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is moedrate,
churn probability is moedrate"
147	"date of expiry is near,
preimum at risk is less,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
148	"date of expiry is far,
preimum at risk is high,
client satisfaction with company is high,
client responsiveness is low,
churn probability is moedrate"
